1,Ana Lima,ana.lima@exemplo.com,(41) 94464-4022,Administrador
2,Bruno Souza,bruno.souza@exemplo.com,(41) 99943-9434,Administrador
3,Carlos Mendes,carlos.mendes@exemplo.com,(41) 99237-3935,Administrador
4,Daniela Rocha,daniela.rocha@exemplo.com,(41) 95554-2527,Morador
5,Eduardo Paiva,eduardo.paiva@exemplo.com,(41) 99202-7288,Morador
6,Fernanda Alves,fernanda.alves@exemplo.com,(41) 99284-8636,Morador
7,Gabriel Costa,gabriel.costa@exemplo.com,(41) 94635-2875,Administrador
8,Helena Martins,helena.martins@exemplo.com,(41) 94290-6119,Técnico
9,Igor Ferreira,igor.ferreira@exemplo.com,(41) 93972-1703,Técnico
10,Juliana Dias,juliana.dias@exemplo.com,(41) 97767-6707,Morador
11,Kleber Ramos,kleber.ramos@exemplo.com,(41) 98514-6098,Administrador
12,Larissa Neves,larissa.neves@exemplo.com,(41) 93788-4182,Administrador
13,Marcos Silva,marcos.silva@exemplo.com,(41) 94443-4701,Técnico
14,Natália Castro,natália.castro@exemplo.com,(41) 96836-7043,Técnico
15,Otávio Cruz,otávio.cruz@exemplo.com,(41) 97996-2264,Técnico
16,Patrícia Gomes,patrícia.gomes@exemplo.com,(41) 97690-7824,Técnico
17,Rafael Teixeira,rafael.teixeira@exemplo.com,(41) 92569-4832,Técnico
18,Sandra Moraes,sandra.moraes@exemplo.com,(41) 98135-9443,Técnico
19,Thiago Nunes,thiago.nunes@exemplo.com,(41) 95637-5177,Morador
20,Vanessa Lopes,vanessa.lopes@exemplo.com,(41) 97746-8035,Administrador
